Time Intervals,photovoltaic,wind,Demand
tX0250,1073.0,26589.0,46963.0
tX0251,2466.0,27327.0,50445.0
tX0252,3408.0,27817.0,52695.0
tX0253,4119.0,28279.0,52932.0
tX0254,3979.0,28375.0,52168.0
tX0255,3024.0,28598.0,51072.0
tX0256,1423.0,28268.0,50558.0
tX0257,178.0,28035.0,52477.0
tX0258,4.0,28423.0,57836.0
tX0259,0,28359.0,58884.0
tX0260,0,28431.0,56555.0
tX0261,0,27819.0,54147.0
tX0262,0,26804.0,52446.0
tX0263,0,25466.0,52123.0
tX0264,0,24901.0,49439.0
tX0265,0,24647.0,47151.0
tX0266,0,24316.0,45321.0
tX0267,0,23360.0,44187.0
tX0268,0,22493.0,43707.0
tX0269,0,22247.0,44623.0
tX0270,0,23050.0,48379.0
tX0271,0,24835.0,57743.0
tX0272,0,25685.0,64641.0
tX0273,80.0,26315.0,67367.0
tX0274,554.0,26725.0,67453.0
tX0275,1416.0,27981.0,68761.0
tX0276,2111.0,28788.0,69896.0
tX0277,2349.0,28975.0,69798.0
tX0278,2236.0,29082.0,69699.0
tX0279,1486.0,29016.0,68973.0
tX0280,639.0,29020.0,67689.0
tX0281,138.0,28420.0,67784.0
tX0282,2.0,27958.0,69275.0
tX0283,0,27862.0,69375.0
tX0284,0,28215.0,67583.0
tX0285,0,28157.0,64197.0
tX0286,0,27752.0,61263.0
tX0287,0,26256.0,58436.0
tX0288,0,24498.0,54512.0
tX0289,0,22871.0,50950.0
tX0290,0,21475.0,48796.0
tX0291,0,20407.0,48270.0
tX0292,0,20233.0,48277.0
tX0293,0,21040.0,49302.0
tX0294,0,22130.0,51870.0
tX0295,0,23620.0,58189.0
tX0296,0,24561.0,64111.0
tX0297,514.0,25485.0,65883.0
tX0298,3430.0,25225.0,65539.0
tX0299,6925.0,25302.0,65799.0
tX0300,9542.0,25082.0,67179.0
tX0301,10621.0,24245.0,67933.0
tX0302,9432.0,23038.0,66960.0
tX0303,6588.0,22299.0,65799.0
tX0304,2897.0,21649.0,64703.0
tX0305,318.0,20750.0,64422.0
tX0306,3.0,19896.0,68409.0
tX0307,0,19376.0,67335.0
tX0308,0,18870.0,64116.0
tX0309,0,17846.0,58519.0
tX0310,0,18460.0,55942.0
tX0311,0,18542.0,54780.0
tX0312,0,17735.0,51765.0
tX0313,0,16662.0,47894.0
tX0314,0,15936.0,45224.0
tX0315,0,14831.0,43702.5
tX0316,0,14947.0,44226.75
tX0317,0,15642.0,45963.25
tX0318,0,17076.0,50021.5
tX0319,0,19011.0,58196.5
tX0320,0,21497.0,66118.25
tX0321,163.0,22160.0,68911.0
tX0322,1339.0,21966.0,68256.25
tX0323,3025.0,21477.0,69625.75
tX0324,3711.0,21026.0,69925.75
tX0325,3482.0,20715.0,68688.5
tX0326,3149.0,19175.0,67968.75
tX0327,2194.0,16823.0,66643.75
tX0328,893.0,14755.0,65780.0
tX0329,134.0,14544.0,66111.25
tX0330,2.0,14510.0,69174.0
tX0331,0,14454.0,67966.0
tX0332,0,14406.0,66531.75
tX0333,0,14850.0,62618.0
tX0334,0,15062.0,59406.5
tX0335,0,14987.0,57203.25
tX0336,0,14692.0,53473.75
tX0337,0,14542.0,49686.25
tX0338,0,14655.0,47749.25
tX0339,0,15427.0,46977.5
tX0340,0,16946.0,47478.0
tX0341,0,18733.0,48564.5
tX0342,0,20635.0,51779.0
tX0343,0,22749.0,59454.25
tX0344,0,23806.0,66237.25
tX0345,154.0,24891.0,69251.5
tX0346,963.0,25241.0,69048.5
tX0347,2363.0,25662.0,70086.75
tX0348,3468.0,25966.0,71366.75
tX0349,3587.0,26272.0,70490.25
tX0350,3192.0,25459.0,69658.0
tX0351,2230.0,25057.0,68272.25
tX0352,1008.0,24968.0,67487.75
tX0353,170.0,24959.0,67381.75
tX0354,5.0,24877.0,69940.75
tX0355,0,25593.0,69342.25
tX0356,0,26396.0,68142.75
tX0357,0,25958.0,64399.0
tX0358,0,25303.0,61047.75
tX0359,0,24037.0,58223.0
tX0360,0,23260.0,53518.25
tX0361,0,22135.0,49927.0
tX0362,0,21296.0,47115.75
tX0363,0,21199.0,45559.0
tX0364,0,20559.0,47118.75
tX0365,0,19631.0,49165.25
tX0366,0,18681.0,52740.25
tX0367,0,17537.0,60040.0
tX0368,0,16556.0,67143.75
tX0369,291.0,15432.0,69108.75
tX0370,1736.0,13545.0,68230.5
tX0371,3487.0,12066.0,68502.5
tX0372,4689.0,10708.0,68739.25
tX0373,4719.0,8966.0,67505.75
tX0374,3850.0,7528.0,65920.25
tX0375,2640.0,5709.0,63974.75
tX0376,1213.0,4298.0,62888.5
tX0377,174.0,3697.0,63197.75
tX0378,4.0,4131.0,66335.75
tX0379,0,4339.0,65858.25
tX0380,0,4408.0,63726.25
tX0381,0,4239.0,59493.75
tX0382,0,4173.0,56086.5
tX0383,0,3897.0,53799.75
tX0384,0,3675.0,49893.5
tX0385,0,3856.0,46568.0
tX0386,0,4128.0,43991.5
tX0387,0,4521.0,42916.0
tX0388,0,4824.0,42646.75
tX0389,0,5144.0,42754.25
tX0390,0,5327.0,42438.5
tX0391,0,5537.0,43168.25
tX0392,0,5697.0,46932.25
tX0393,90.0,6222.0,50985.25
tX0394,915.0,6089.0,54018.75
tX0395,2493.0,5519.0,55764.0
tX0396,4013.0,4994.0,56865.0
tX0397,4693.0,4932.0,56167.5
tX0398,4339.0,5283.0,53979.25
tX0399,3115.0,5220.0,52632.5
tX0400,1477.0,4365.0,51884.25
tX0401,252.0,4201.0,52631.5
tX0402,4.0,5080.0,56941.0
tX0403,0,6327.0,57996.75
tX0404,0,6855.0,56133.5
tX0405,0,6846.0,52061.0
tX0406,0,7317.0,49753.25
tX0407,0,7453.0,49063.25
tX0408,0,7256.0,46016.75
tX0409,0,7303.0,43223.25
tX0410,0,7424.0,41585.0
tX0411,0,7371.0,40079.0
tX0412,0,7696.0,39750.0
tX0413,0,7828.0,39639.0
tX0414,0,7733.0,39003.75
tX0415,0,7578.0,37939.75
tX0416,0,7843.0,39914.5
tX0417,248.0,7289.0,42387.25
tX0418,1889.0,6642.0,45460.0
tX0419,4115.0,5861.0,48180.0
tX0420,5858.0,5221.0,50796.5
tX0421,6596.0,4772.0,50911.0
tX0422,5979.0,4172.0,48859.5
tX0423,4296.0,3708.0,47602.75
tX0424,1985.0,3346.0,47460.25
tX0425,274.0,3223.0,48006.75
tX0426,5.0,3469.0,53251.5
tX0427,0,3982.0,54899.5
tX0428,0,4113.0,53503.25
tX0429,0,3956.0,51038.75
tX0430,0,3815.0,49697.75
tX0431,0,3568.0,50325.75
tX0432,0,3370.0,47517.5
tX0433,0,3035.0,44376.75
tX0434,0,2542.0,42741.5
tX0435,0,2123.0,42217.5
tX0436,0,1758.0,42662.25
tX0437,0,1443.0,43965.25
tX0438,0,1275.0,47643.25
tX0439,0,1365.0,56635.5
tX0440,0,1566.0,64646.75
tX0441,291.0,1645.0,67153.0
tX0442,1551.0,1464.0,67619.0
tX0443,3178.0,1188.0,68361.0
tX0444,4471.0,902.0,68988.0
tX0445,4873.0,766.0,68480.75
tX0446,4486.0,744.0,68159.0
tX0447,3144.0,729.0,67371.75
tX0448,1435.0,816.0,66653.75
tX0449,237.0,996.0,66240.25
tX0450,5.0,1199.0,69214.5
tX0451,0,1327.0,69121.25
tX0452,0,1312.0,67480.25
tX0453,0,1294.0,63275.25
tX0454,0,1321.0,59946.0
tX0455,0,1338.0,57360.75
tX0456,0,1321.0,52796.5
tX0457,0,1285.0,49522.5
tX0458,0,1194.0,47307.5
tX0459,0,1175.0,46259.5
tX0460,0,1092.0,46726.0
tX0461,0,971.0,47733.5
tX0462,0,897.0,50818.0
tX0463,0,856.0,58543.25
tX0464,0,865.0,65737.5
tX0465,93.0,847.0,68358.25
tX0466,627.0,755.0,68479.5
tX0467,1228.0,605.0,69573.25
tX0468,1779.0,470.0,70188.0
tX0469,2209.0,366.0,69950.5
tX0470,2181.0,336.0,69388.75
tX0471,1651.0,372.0,68400.75
tX0472,841.0,385.0,67827.0
tX0473,162.0,388.0,67091.5
tX0474,5.0,460.0,70058.5
tX0475,0,522.0,69736.25
tX0476,0,537.0,67918.5
tX0477,0,563.0,63901.5
tX0478,0,693.0,60384.75
tX0479,0,718.0,57420.5
tX0480,0,789.0,53421.0
tX0481,0,842.0,49633.0
tX0482,0,827.0,47415.5
tX0483,0,854.0,46563.25
tX0484,0,879.0,46751.5
tX0485,0,921.0,47698.75
tX0486,0,1048.0,50897.0
tX0487,0,1256.0,58704.75
tX0488,0,1451.0,65603.0
tX0489,177.0,1642.0,67883.0
tX0490,1303.0,1714.0,68239.75
tX0491,2660.0,1477.0,68671.75
tX0492,3935.0,1330.0,69201.75
tX0493,4719.0,1185.0,68948.75
tX0494,4367.0,1239.0,67912.25
tX0495,3080.0,1366.0,66529.75
tX0496,1562.0,1668.0,66262.0
tX0497,298.0,2243.0,65983.5
tX0498,5.0,2808.0,68466.5
tX0499,0,3385.0,68849.0
tX0500,0,3841.0,66976.5
tX0501,0,3917.0,63074.25
tX0502,0,3949.0,59883.0
tX0503,0,4008.0,57032.25
tX0504,0,3989.0,51913.5
tX0505,0,3707.0,50433.0
tX0506,0,3513.0,48343.0
tX0507,0,3403.0,47150.75
tX0508,0,3349.0,47265.0
tX0509,0,3452.0,48266.75
tX0510,0,3680.0,51010.25
tX0511,0,3665.0,58314.5
tX0512,0,3528.0,65376.25
tX0513,150.0,3391.0,67708.0
tX0514,854.0,3092.0,67841.75
tX0515,1747.0,2690.0,66924.75
tX0516,2433.0,2357.0,69236.75
tX0517,2471.0,2065.0,68789.25
tX0518,2122.0,1958.0,67170.25
tX0519,1519.0,1914.0,66328.25
tX0520,682.0,1903.0,66729.0
tX0521,123.0,2010.0,66276.5
tX0522,6.0,2220.0,69005.5
tX0523,0,2358.0,69505.5
tX0524,0,2306.0,67157.75
tX0525,0,2177.0,63027.25
tX0526,0,2106.0,59421.5
