ervals,photovoltaic,wind,Demand
"tX0360",,23260,53518.25
"tX0361",,22135,49927
"tX0362",,21296,47115.75
"tX0363",,21199,45559
"tX0364",,20559,47118.75
"tX0365",,19631,49165.25
"tX0366",,18681,52740.25
"tX0367",,17537,60040
"tX0368",,16556,67143.75
"tX0369",291,15432,69108.75
"tX0370",1736,13545,68230.5
"tX0371",3487,12066,68502.5
"tX0372",4689,10708,68739.25
"tX0373",4719,8966,67505.75
"tX0374",3850,7528,65920.25
"tX0375",2640,5709,63974.75
"tX0376",1213,4298,62888.5
"tX0377",174,3697,63197.75
"tX0378",4,4131,66335.75
"tX0379",,4339,65858.25
"tX0380",,4408,63726.25
"tX0381",,4239,59493.75
"tX0382",,4173,56086.5
"tX0383",,3897,53799.75
"tX0384",,3675,49893.5
"tX0385",,3856,46568
"tX0386",,4128,43991.5
"tX0387",,4521,42916
"tX0388",,4824,42646.75
"tX0389",,5144,42754.25
"tX0390",,5327,42438.5
"tX0391",,5537,43168.25
"tX0392",,5697,46932.25
"tX0393",90,6222,50985.25
"tX0394",915,6089,54018.75
"tX0395",2493,5519,55764
"tX0396",4013,4994,56865
"tX0397",4693,4932,56167.5
"tX0398",4339,5283,53979.25
"tX0399",3115,5220,52632.5
"tX0400",1477,4365,51884.25
"tX0401",252,4201,52631.5
"tX0402",4,5080,56941
"tX0403",,6327,57996.75
"tX0404",,6855,56133.5
"tX0405",,6846,52061
"tX0406",,7317,49753.25
"tX0407",,7453,49063.25
"tX0408",,7256,46016.75
"tX0409",,7303,43223.25
"tX0410",,7424,41585
"tX0411",,7371,40079
"tX0412",,7696,39750
"tX0413",,7828,39639
"tX0414",,7733,39003.75
"tX0415",,7578,37939.75
"tX0416",,7843,39914.5
"tX0417",248,7289,42387.25
"tX0418",1889,6642,45460
"tX0419",4115,5861,48180
"tX0420",5858,5221,50796.5
"tX0421",6596,4772,50911
"tX0422",5979,4172,48859.5
"tX0423",4296,3708,47602.75
"tX0424",1985,3346,47460.25
"tX0425",274,3223,48006.75
"tX0426",5,3469,53251.5
"tX0427",,3982,54899.5
"tX0428",,4113,53503.25
"tX0429",,3956,51038.75
"tX0430",,3815,49697.75
"tX0431",,3568,50325.75
"tX0432",,3370,47517.5
"tX0433",,3035,44376.75
"tX0434",,2542,42741.5
"tX0435",,2123,42217.5
"tX0436",,1758,42662.25
"tX0437",,1443,43965.25
"tX0438",,1275,47643.25
"tX0439",,1365,56635.5
"tX0440",,1566,64646.75
"tX0441",291,1645,67153
"tX0442",1551,1464,67619
"tX0443",3178,1188,68361
"tX0444",4471,902,68988
"tX0445",4873,766,68480.75
"tX0446",4486,744,68159
"tX0447",3144,729,67371.75
"tX0448",1435,816,66653.75
"tX0449",237,996,66240.25
"tX0450",5,1199,69214.5
"tX0451",,1327,69121.25
"tX0452",,1312,67480.25
"tX0453",,1294,63275.25
"tX0454",,1321,59946
"tX0455",,1338,57360.75
"tX0456",,1321,52796.5
"tX0457",,1285,49522.5
"tX0458",,1194,47307.5
"tX0459",,1175,46259.5
"tX0460",,1092,46726
"tX0461",,971,47733.5
"tX0462",,897,50818
"tX0463",,856,58543.25
"tX0464",,865,65737.5
"tX0465",93,847,68358.25
"tX0466",627,755,68479.5
"tX0467",1228,605,69573.25
"tX0468",1779,470,70188
"tX0469",2209,366,69950.5
"tX0470",2181,336,69388.75
